===New encoding session===

===New encoding session===
(94, 73)
(101, 79)
(96, 74)
(104, 69)
(106, 73)
(103, 77)
(99, 72)
(100, 76)
(105, 70)
(115, 74)
(93, 78)
(102, 77)
(95, 74)
(106, 76)
(108, 75)
(107, 80)
(103, 67)
(109, 73)
(108, 67)
(120, 75)
(101, 78)
(102, 74)
(104, 73)
(109, 73)
(110, 71)
(96, 81)
(96, 76)
(97, 79)
(103, 76)
(104, 78)
(94, 83)
(99, 78)
(103, 83)
(108, 75)
(96, 77)
(91, 80)
(98, 80)
(103, 79)
(105, 80)
(108, 77)
(99, 80)
(103, 79)
(111, 80)
(109, 77)
(98, 74)
(95, 83)
(97, 83)
(101, 77)
(109, 78)
(107, 75)
(93, 70)
(96, 79)
(103, 68)
(98, 67)
(90, 74)
(93, 71)
(101, 74)
(104, 74)
(92, 78)
(90, 77)
(94, 77)
(98, 67)
(107, 73)
(108, 74)
(94, 80)
(97, 67)
(104, 69)
(107, 71)
(94, 78)
(94, 77)
(96, 72)
(102, 73)
(107, 74)
(92, 74)
(97, 75)
(82, 73)
(84, 72)
(80, 71)
(77, 75)
(82, 67)
(84, 75)
(86, 73)
(81, 73)
(80, 74)
(83, 68)
(84, 74)
(85, 74)
(83, 75)
(83, 75)
(82, 72)
(89, 72)
(88, 71)
(82, 73)
(85, 70)
(88, 66)
(84, 76)
(84, 74)
(84, 73)
(80, 75)
(84, 70)
(66, 79)
(77, 74)
(80, 75)
(85, 78)
(90, 74)
(63, 78)
(80, 76)
(85, 78)
(86, 77)
(89, 79)
(70, 83)
(78, 72)
(82, 76)
(82, 82)
(89, 73)
(67, 70)
(83, 73)
(91, 76)
(87, 74)
(93, 74)
(65, 79)
(79, 77)
(88, 76)
(88, 79)
(90, 78)
(96, 73)
(96, 74)
(91, 78)
(92, 77)
(91, 72)
(96, 79)
(96, 74)
(91, 77)
(91, 77)
(89, 78)
(100, 71)
(99, 77)
(94, 84)
(96, 78)
(96, 77)
(100, 77)
(99, 66)
(93, 75)
(94, 75)
(91, 73)
(93, 79)
(96, 73)
(93, 77)
(92, 77)
(90, 80)
(85, 69)
(92, 80)
(94, 81)
(97, 84)
(97, 85)
(91, 79)
(94, 86)
(94, 85)
(96, 86)
(97, 88)
(87, 79)
(93, 81)
(98, 82)
